SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,April-1-2021,Condo/Co-op,62 E Serene Ave #117,Las Vegas,NV,89123,225000,2,2.0,Manhattan Condo,1038,,2006,20,217,278,Sold,,,http://www.redfin.com/NV/Las-Vegas/62-E-Serene-Ave-89123/unit-117/home/29493823,GLVAR,2273399,N,Y,36.0215746,-115.1693696
PAST SALE,February-16-2021,Townhouse,9190 Alpine Bliss St,Las Vegas,NV,89123,285000,2,3.0,Agate Gilespie,1557,3920,1998,64,183,105,Sold,,,http://www.redfin.com/NV/Las-Vegas/9190-Alpine-Bliss-St-89123/home/29629725,GLVAR,2226324,N,Y,36.022771,-115.159129
PAST SALE,March-3-2021,Condo/Co-op,2715 Pebble Rd #501,Las Vegas,NV,89123,485000,2,2.5,Loft 5,1950,,2006,49,249,491,Sold,,,http://www.redfin.com/NV/Las-Vegas/2715-W-Pebble-Rd-89123/unit-501/home/29775962,GLVAR,2263872,N,Y,36.0280801,-115.1772948
PAST SALE,March-4-2021,Townhouse,2879 W Agate Ave,Las Vegas,NV,89123,254000,2,1.75,Environment For Living At Agate Twnhms,1212,2614,1999,48,210,60,Sold,,,http://www.redfin.com/NV/Las-Vegas/2879-W-Agate-Ave-89123/home/29626891,GLVAR,2263984,N,Y,36.024681,-115.179703
PAST SALE,March-5-2021,Condo/Co-op,2615 Gary #1009,Las Vegas,NV,89123,138000,1,1.0,St James Place,711,,1999,47,194,147,Sold,,,http://www.redfin.com/NV/Las-Vegas/2615-W-Gary-Ave-89123/unit-1009/home/29472723,GLVAR,2203552,N,Y,36.0151681,-115.176827
PAST SALE,February-19-2021,Condo/Co-op,7450 Eastern Ave #2062,Las Vegas,NV,89123,193900,2,2.0,Southpark,1036,,1998,61,187,149,Sold,,,http://www.redfin.com/NV/Las-Vegas/7450-S-Eastern-Ave-89123/unit-2062/home/29614549,GLVAR,2260150,N,Y,36.0550421,-115.1163292
PAST SALE,March-26-2021,Condo/Co-op,8805 Jeffreys St #1024,Las Vegas,NV,89123,214000,2,2.0,PEBBLE CREEK VILLAGE-UNIT 2,1211,,2006,26,177,165,Sold,,,http://www.redfin.com/NV/Las-Vegas/8805-Jeffreys-St-89123/unit-1024/home/29294760,GLVAR,2254458,N,Y,36.0307837,-115.1223286
PAST SALE,February-22-2021,Condo/Co-op,68 Serene Ave #417,Las Vegas,NV,89123,240000,2,2.0,Manhattan Condo,1134,,2006,58,212,278,Sold,,,http://www.redfin.com/NV/Las-Vegas/68-E-Serene-Ave-89123/unit-417/home/29493778,GLVAR,2250481,N,Y,36.0216153,-115.170435
PAST SALE,February-1-2021,Condo/Co-op,38 Serene Ave #315,Las Vegas,NV,89123,240000,2,2.0,Manhattan Condo,1243,,2006,79,193,278,Sold,,,http://www.redfin.com/NV/Las-Vegas/38-E-Serene-Ave-89123/unit-315/home/29494716,GLVAR,2222675,N,Y,36.0230307,-115.1714077
PAST SALE,March-3-2021,Condo/Co-op,2615 Gary Ave #1058,Las Vegas,NV,89123,142500,1,1.0,St James Place,711,,1999,49,200,147,Sold,,,http://www.redfin.com/NV/Las-Vegas/2615-W-Gary-Ave-89123/unit-1058/home/29472721,GLVAR,2259000,N,Y,36.0151681,-115.176827
PAST SALE,March-8-2021,Condo/Co-op,9000 Las Vegas Blvd #2173,Las Vegas,NV,89123,145000,1,1.0,Sedona On The Blvd,723,,2004,44,201,220,Sold,,,http://www.redfin.com/NV/Las-Vegas/9000-Las-Vegas-Blvd-S-89123/unit-2173/home/29184291,GLVAR,2261918,N,Y,36.027179,-115.169979
PAST SALE,March-11-2021,Condo/Co-op,7450 Eastern Ave #2016,Las Vegas,NV,89123,199900,2,2.0,Southpark,1122,,1996,41,178,145,Sold,,,http://www.redfin.com/NV/Las-Vegas/7450-S-Eastern-Ave-89123/unit-2016/home/29614543,GLVAR,2235141,N,Y,36.0550421,-115.1163292
PAST SALE,March-15-2021,Condo/Co-op,55 Agate Ave #406,Las Vegas,NV,89123,175000,1,1.0,Park Ave Condo-Amd,786,,2004,37,223,295,Sold,,,http://www.redfin.com/NV/Las-Vegas/55-E-Agate-Ave-89123/unit-406/home/29940461,GLVAR,2267894,N,Y,36.0224452,-115.1688601
PAST SALE,March-9-2021,Single Family Residential,8986 Haviland Rd,Las Vegas,NV,89123,315000,2,1.75,Crystal Spgs R-2 #18,1243,4356,1999,43,253,17,Sold,,,http://www.redfin.com/NV/Las-Vegas/8986-Haviland-Rd-89123/home/29629842,GLVAR,2263931,N,Y,36.026246,-115.151807
PAST SALE,February-5-2021,Single Family Residential,1564 Silver Point Ave,Las Vegas,NV,89123,320000,2,2.0,Silverado Trails,1497,6098,1996,75,214,20,Sold,,,http://www.redfin.com/NV/Las-Vegas/1564-Silver-Point-Ave-89123/home/29633801,GLVAR,2257758,N,Y,36.0146935,-115.1311536
PAST SALE,March-4-2021,Condo/Co-op,8255 Las Vegas Blvd #1215,Las Vegas,NV,89123,331000,2,2.0,One Las Vegas,1368,,2008,48,242,713,Sold,,,http://www.redfin.com/NV/Las-Vegas/8255-Las-Vegas-Blvd-S-89123/unit-1215/home/29800309,GLVAR,2250584,N,Y,36.039852,-115.176096
PAST SALE,March-10-2021,Condo/Co-op,26 Serene Ave #225,Las Vegas,NV,89123,245000,2,2.0,Manhattan Condo,1086,,2006,42,226,278,Sold,,,http://www.redfin.com/NV/Las-Vegas/26-E-Serene-Ave-89123/unit-225/home/29494786,GLVAR,2235262,N,Y,36.021957,-115.1712224
PAST SALE,March-30-2021,Condo/Co-op,8255 S Las Vegas Blvd #912,Las Vegas,NV,89123,399900,2,2.5,ONE LAS VEGAS,1573,,2008,22,254,834,Sold,,,http://www.redfin.com/NV/Las-Vegas/8255-Las-Vegas-Blvd-S-89123/unit-912/home/29800271,GLVAR,2269151,N,Y,36.039852,-115.176096
PAST SALE,March-17-2021,Condo/Co-op,2405 Serene Ave #916,Las Vegas,NV,89123,305000,2,2.5,PALM BEACH RESORT,1801,,2007,35,169,790,Sold,,,http://www.redfin.com/NV/Las-Vegas/2405-W-Serene-Ave-89123/unit-916/home/29493974,GLVAR,2263281,N,Y,36.020079,-115.174572
PAST SALE,March-22-2021,Condo/Co-op,26 Serene Ave #417,Las Vegas,NV,89123,263000,2,2.0,Manhattan Condo,1134,,2006,30,232,278,Sold,,,http://www.redfin.com/NV/Las-Vegas/26-E-Serene-Ave-89123/unit-417/home/29494687,GLVAR,2269243,N,Y,36.021957,-115.1712224
PAST SALE,March-23-2021,Condo/Co-op,56 Serene Ave #119,Las Vegas,NV,89123,240000,2,2.0,Manhattan Condo,1184,,2006,29,203,278,Sold,,,http://www.redfin.com/NV/Las-Vegas/56-E-Serene-Ave-89123/unit-119/home/29495008,GLVAR,2262077,N,Y,36.0223178,-115.1697865
PAST SALE,March-31-2021,Condo/Co-op,8255 Las Vegas Blvd #1303,Las Vegas,NV,89123,399000,2,2.0,One Las Vegas,1291,,2008,21,309,744,Sold,,,http://www.redfin.com/NV/Las-Vegas/8255-Las-Vegas-Blvd-S-89123/unit-1303/home/29800315,GLVAR,2244143,N,Y,36.039852,-115.176096
PAST SALE,March-31-2021,Condo/Co-op,9000 Las Vegas Blvd #1134,Las Vegas,NV,89123,159000,1,0.75,Sedona On The Blvd,853,,1996,21,186,220,Sold,,,http://www.redfin.com/NV/Las-Vegas/9000-Las-Vegas-Blvd-S-89123/unit-1134/home/29185501,GLVAR,2272975,N,Y,36.026067,-115.170442
PAST SALE,April-13-2021,Condo/Co-op,32 Serene Ave #119,Las Vegas,NV,89123,212500,2,2.0,Manhattan Condo Phase 2,1048,,2007,8,203,278,Sold,,,http://www.redfin.com/NV/Las-Vegas/32-E-Serene-Ave-89123/unit-119/home/29495510,GLVAR,2237566,N,Y,36.0223107,-115.1717783
PAST SALE,April-15-2021,Condo/Co-op,2869 Orange Ky #1,Las Vegas,NV,89123,344702,2,2.5,Paragon Lofts - Phase 1,1845,1742,2020,6,187,285,Sold,,,http://www.redfin.com/NV/Enterprise/Orange-Key-Ct-89123/unit-1/home/167774826,GLVAR,2205146,N,Y,36.031094,-115.179862
PAST SALE,April-16-2021,Condo/Co-op,9000 S Las Vegas Blvd #2186,Las Vegas,NV,89123,150000,1,1.0,Sedona On The Blvd,853,853,1996,5,176,175,Sold,,,http://www.redfin.com/NV/Las-Vegas/9000-Las-Vegas-Blvd-S-89123/unit-2186/home/29294827,GLVAR,2269575,N,Y,36.026509,-115.169326
PAST SALE,April-16-2021,Condo/Co-op,2869 Orange Ky #2,Las Vegas,NV,89123,335706,2,2.5,Paragon Lofts - Phase 1,1599,1742,2020,5,210,285,Sold,,,http://www.redfin.com/NV/Enterprise/Orange-Key-Ct-89123/unit-2/home/167774827,GLVAR,2205153,N,Y,36.031094,-115.179862
PAST SALE,April-16-2021,Condo/Co-op,9000 Las Vegas Blvd #1042,Las Vegas,NV,89123,187000,2,2.0,Sedona On The Blvd,1131,,1996,5,165,220,Sold,,,http://www.redfin.com/NV/Las-Vegas/9000-Las-Vegas-Blvd-S-89123/unit-1042/home/29184212,GLVAR,2255499,N,Y,36.02513,-115.171756
PAST SALE,April-15-2021,Single Family Residential,623 Paulson Dr,Las Vegas,NV,89123,315000,2,1.75,Crystal Spgs R2,1053,4792,1990,6,299,30,Sold,,,http://www.redfin.com/NV/Las-Vegas/623-Paulson-Dr-89123/home/29623412,GLVAR,2272373,N,Y,36.0335475,-115.1493821
PAST SALE,April-16-2021,Single Family Residential,641 Almondale Ave,Las Vegas,NV,89123,290000,2,2.0,Crystal Spgs R2,984,4356,1988,5,295,30,Sold,,,http://www.redfin.com/NV/Las-Vegas/641-Almondale-Ave-89123/home/29623248,GLVAR,2265876,N,Y,36.0362881,-115.1490578
PAST SALE,February-3-2021,Condo/Co-op,2615 Gary Ave #2015,Las Vegas,NV,89123,176000,2,2.0,St James Place,940,,1999,77,187,195,Sold,,,http://www.redfin.com/NV/Las-Vegas/2615-W-Gary-Ave-89123/unit-2015/home/29493704,GLVAR,2239867,N,Y,36.0151681,-115.176827
PAST SALE,March-1-2021,Condo/Co-op,8255 S Las Vegas Blvd #1611,Las Vegas,NV,89123,482500,2,2.5,One Las Vegas,1573,,2008,51,307,834,Sold,,,http://www.redfin.com/NV/Las-Vegas/8255-Las-Vegas-Blvd-S-89123/unit-1611/home/29801926,GLVAR,2215144,N,Y,36.039852,-115.176096
PAST SALE,March-31-2021,Condo/Co-op,2405 Serene Ave #814,Las Vegas,NV,89123,203000,2,2.0,Palm Beach Resort,899,,2007,21,226,393,Sold,,,http://www.redfin.com/NV/Las-Vegas/2405-W-Serene-Ave-89123/unit-814/home/29493950,GLVAR,2251504,N,Y,36.020079,-115.174572
PAST SALE,April-19-2021,Condo/Co-op,2455 Serene Ave #614,Las Vegas,NV,89123,195000,2,2.0,Palm Beach Resort,784,,2007,2,249,392,Sold,,,http://www.redfin.com/NV/Las-Vegas/2455-W-Serene-Ave-89123/unit-614/home/29493526,GLVAR,2246377,N,Y,36.0196555,-115.1749575
PAST SALE,April-16-2021,Condo/Co-op,9000 Las Vegas Blvd #1187,Las Vegas,NV,89123,170000,1,1.0,Sedona On The Blvd,853,,1996,5,199,220,Sold,,,http://www.redfin.com/NV/Las-Vegas/9000-Las-Vegas-Blvd-S-89123/unit-1187/home/29185531,GLVAR,2264090,N,Y,36.026509,-115.169326
PAST SALE,February-18-2021,Condo/Co-op,75 E Agate Av Ave #203,Las Vegas,NV,89123,239000,2,2.0,PARK AVENUE CONDO-UNIT 2 AMD,1165,,2004,62,205,295,Sold,,,http://www.redfin.com/NV/Las-Vegas/75-E-Agate-Ave-89123/unit-203/home/29940914,GLVAR,2260869,N,Y,36.0225017,-115.1680727
PAST SALE,February-4-2021,Condo/Co-op,2405 Serene Ave #727,Las Vegas,NV,89123,210500,2,2.0,Palm Beach Resort,899,,2007,76,234,392,Sold,,,http://www.redfin.com/NV/Las-Vegas/2405-W-Serene-Ave-89123/unit-727/home/29494052,GLVAR,2250569,N,Y,36.020079,-115.174572
PAST SALE,January-22-2021,Condo/Co-op,50 Serene Ave #122,Las Vegas,NV,89123,210000,2,2.0,Manhattan Condo,1134,,2006,89,185,278,Sold,,,http://www.redfin.com/NV/Las-Vegas/50-E-Serene-Ave-89123/unit-122/home/29495052,GLVAR,2246576,N,Y,36.0231764,-115.1695086
PAST SALE,February-19-2021,Condo/Co-op,32 Serene Ave #110,Las Vegas,NV,89123,220000,2,2.0,MANHATTAN CONDO PHASE 2,1048,1048,2007,61,210,278,Sold,,,http://www.redfin.com/NV/Las-Vegas/32-E-Serene-Ave-89123/unit-110/home/29494704,GLVAR,2177340,N,Y,36.0223107,-115.1717783
