SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,March-18-2021,Single Family Residential,3120 Autumn Leaf Ct,Las Vegas,NV,89108,320000,4,2.0,Willows,2195,6970,1988,45,146,,Sold,,,http://www.redfin.com/NV/Las-Vegas/3120-Autumn-Leaf-Ct-89108/home/29140182,GLVAR,2230632,N,Y,36.2165096,-115.2299268
PAST SALE,March-30-2021,Single Family Residential,3548 Trilogy Dr,Las Vegas,NV,89108,259000,3,2.0,Trilogy,1160,5227,1999,33,223,,Sold,,,http://www.redfin.com/NV/Las-Vegas/3548-N-Trilogy-Dr-89108/home/29133099,GLVAR,2278091,N,Y,36.2239863,-115.2201551
PAST SALE,April-16-2021,Condo/Co-op,3318 Decatur #1048,Las Vegas,NV,89130,138000,3,2.0,Decatur Villas,1116,2348,1998,16,124,237,Sold,,,http://www.redfin.com/NV/Las-Vegas/3318-N-Decatur-Blvd-89130/unit-1048/home/29247715,GLVAR,2180466,N,Y,36.219917,-115.205365
PAST SALE,February-1-2021,Single Family Residential,6645 Lund Dr,Las Vegas,NV,89108,280000,3,2.5,Rainbow Park 1,1421,3485,1994,90,197,37,Sold,,,http://www.redfin.com/NV/Las-Vegas/6645-Lund-Dr-89108/home/29192453,GLVAR,2243177,N,Y,36.1869472,-115.239513
PAST SALE,April-23-2021,Condo/Co-op,1836 Decatur Blvd #202,Las Vegas,NV,89108,124000,2,2.0,Laguna Shores Sub,945,945,1985,9,131,225,Sold,,,http://www.redfin.com/NV/Las-Vegas/1836-N-Decatur-Blvd-89108/unit-202/home/29306972,GLVAR,2266474,N,Y,36.19243,-115.203803
PAST SALE,April-22-2021,Single Family Residential,3449 Silver Bridle Pl,North Las Vegas,NV,89032,318000,3,2.5,Silverwood Ranch,1999,4792,1996,10,159,17,Sold,,,http://www.redfin.com/NV/North-Las-Vegas/3449-Silver-Bridle-Pl-89032/home/29246094,GLVAR,2269248,N,Y,36.2226629,-115.2046401
PAST SALE,April-14-2021,Townhouse,4221 Thomas Patrick Ave,North Las Vegas,NV,89032,325000,5,3.0,Cheyenne Valley Innovative Resort Communities,2337,3049,2018,18,139,84,Sold,,,http://www.redfin.com/NV/North-Las-Vegas/4221-Thomas-Patrick-Ave-89032/home/147763953,GLVAR,2274624,N,Y,36.220434,-115.19655
PAST SALE,April-21-2021,Single Family Residential,5237 Pebble Beach Blvd,Las Vegas,NV,89108,229900,3,1.0,Golfridge Terrace,1000,6098,1962,11,230,,Sold,,,http://www.redfin.com/NV/Las-Vegas/5237-Pebble-Beach-Blvd-89108/home/29188483,GLVAR,2272687,N,Y,36.1875403,-115.2140418
PAST SALE,April-21-2021,Single Family Residential,2625 Island Brook Dr,Las Vegas,NV,89108,355000,4,3.0,Mission Bend Village Metropolitans,2220,5227,1990,11,160,75,Sold,,,http://www.redfin.com/NV/Las-Vegas/2625-Island-Brook-Dr-89108/home/29138832,GLVAR,2281452,N,Y,36.2080287,-115.2358546
PAST SALE,April-6-2021,Single Family Residential,6372 Mint Frost Way,Las Vegas,NV,89108,355000,4,2.0,Rainbow Vista #11-Lewis Homes,1902,6534,1990,26,187,,Sold,,,http://www.redfin.com/NV/Las-Vegas/6372-Mint-Frost-Way-89108/home/29194005,GLVAR,2274140,N,Y,36.1883115,-115.2313162
